Marka Adı,Instagram Handle,Instagram URL,Website,Genel Email,Kişisel Email,Açıklama,Mention Sayısı,İş Birliği Belirteci,Kaynak Profiller
Pollo AI,@itspollo.ai,https://www.instagram.com/itspollo.ai/,https://pollo.ai,creator@pollo.ai,,AI motion graphics ve animasyon aracı,4,Evet,"enesozcanileyapayzeka, ismailsarikaya"
Learna AI,@learna.ai,https://www.instagram.com/learna.ai/,https://learna.ai,info@learna.ai,,AI eğitim ve öğrenme platformu,3,Evet,"halilenes34, tolgavuranel, spunkram"
Weavy AI,@weavy_ai,https://www.instagram.com/weavy_ai/,https://weavy.ai,hello@weavy.ai,asger@weavy.ai (Asger Christiansen - Technical Lead),AI araç ve iş akışı platformu,3,Hayır,avgon
Replit,@repl.it,https://www.instagram.com/repl.it/,https://replit.com,partnerships@replit.com,"hassan@replit.com (Hassan A - Director of Accounting), amjad@replit.com (Amjad Masad - Chief Executive Officer), manish.mehta@replit.com (Manish Mehta - Chief Security Officer), jeff@replit.com (Jeff Burke - Director of Business Development), haya@replit.com (Haya Odeh - Co-Founder), luis@replit.com (Luis Chávez - Chief Technology Officer), scott@replit.com (Scott Kennedy - Vice President of Engineering), michele@replit.com (Michele Catasta - Vice President of Artificial Intelligence), ertan@replit.com (Ertan Dogrultan - Director of Engineering), andrew.verrilli@replit.com (Andrew Verrilli - None)",AI destekli kodlama platformu,2,Evet,halilenes34
Napkin AI,@napkin_ai,https://www.instagram.com/napkin_ai/,https://www.napkin.ai,hello@napkin.ai,"pramod@napkin.ai (Pramod Sharma - CEO), genevieve@napkin.ai (Genevieve Singer - Head of Product), jerome@napkin.ai (Jérôme Scholler - CTO), erwan@napkin.ai (Erwan Martin - Director of Engineering), murtuza@napkin.ai (Murtuza Bohra - Research Scientist), spandan@napkin.ai (Spandan Kar - Full Stack Developer)",Yazıyı görsele dönüştüren AI aracı,2,Evet,"halilenes34, ceyhuntokgezer"
Vmeg AI,@vmeg.ai,https://www.instagram.com/vmeg.ai/,https://vmeg.ai,support@vmeg.ai,,AI video düzenleme aracı,2,Evet,"tolgavuranel, yzokulu"
Higgsfield AI,@higgsfield.ai,https://www.instagram.com/higgsfield.ai/,https://higgsfield.ai,hello@higgsfield.ai,"deykhan@higgsfield.ai (Deykhan Ten - Director of Partnerships), mahi@higgsfield.ai (Mahi De Silva - Chief Strategy Officer), alex@higgsfield.ai (Alex Mashrabov - Chief Executive Officer), am@higgsfield.ai (Abyl Mamyrov - Partnerships Lead), mukhamejan@higgsfield.ai (Mukhamejan Seitkhan - Growth Manager), sultan@higgsfield.ai (Sultan Unaspekov - Creative Producer), shotan@higgsfield.ai (Shotan Jakupov - Growth Lead), ilyas@higgsfield.ai (Ilyas Issa - Growth Product Manager), daulet@higgsfield.ai (Daulet Nurzhanov - Software Engineer), dias@higgsfield.ai (Dias Mynzhassar - Software Engineer)",AI video üretim aracı,2,Evet,ozansihay
AICatch,@aicatch_us,https://www.instagram.com/aicatch_us/,https://aicatch.app,info@aicatch.app,,AI içerik tespit ve analiz aracı,2,Evet,"ismailsarikaya, hasretsimsek.ai"
Echta World,@echtaworld,https://www.instagram.com/echtaworld/,https://echta.world,info@echta.world,,AI metaverse / dijital dünya platformu,2,Hayır,withbedir
Syntx,@syntx_ai,https://www.instagram.com/syntx_ai/,https://syntx.ai,info@syntx.ai,,AI destekli dijital pazarlama ve içerik platformu,1,Evet,burakozerweb
Mozart AI,@mozartaiofficial,https://www.instagram.com/mozartaiofficial/,https://mozart.ai,hello@mozart.ai,,AI müzik üretim aracı,1,Evet,burakozerweb
PulseBoost AI,@pulseboostai,https://www.instagram.com/pulseboostai/,https://pulseboost.ai,info@pulseboost.ai,,AI pazarlama ve büyüme aracı,1,Evet,avgon
Kling AI (Kuaishou),@klingai_official,https://www.instagram.com/klingai_official/,https://klingai.com,business@kuaishou.com,,AI video üretim aracı,1,Evet,ozansihay
Promake AI,@promake.ai,https://www.instagram.com/promake.ai/,https://promake.ai,hello@promake.ai,,AI ile profesyonel içerik ve ürün fotoğrafı üretimi,1,Evet,ozansihay
Manus AI,@manusaiofficial,https://www.instagram.com/manusaiofficial/,https://manus.im,hello@manus.im,"red@manus.im (Red Xiao - CEO), henry@manus.im (Henry Yang - Chief Marketing Officer)",Genel amaçlı AI asistanı,1,Evet,hasretsimsek.ai
